"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","265","returns 4xx for malformed id ' '","","Thu May 14 14:53:12 UTC 2026","passed","Thu May 14 14:53:13 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for malformed id ' '"
"","320","verify the response of the updated books contains the id of the book","","Thu May 14 14:53:02 UTC 2026","passed","Thu May 14 14:53:03 UTC 2026","","UpdateBookHappyPathSpec","com.example.apitests.books.happyPath.UpdateBookHappyPathSpec","verify the response of the updated books contains the id of the book"
"","286","returns 400 when id is non-numeric ('!!')","","Thu May 14 14:53:02 UTC 2026","passed","Thu May 14 14:53:03 UTC 2026","","DeleteBookNegativeSpec","com.example.apitests.books.negative.DeleteBookNegativeSpec","returns 400 when id is non-numeric ('!!')"
"","270","DELETE book - id range [id: 100, #4]","","Thu May 14 14:53:11 UTC 2026","passed","Thu May 14 14:53:12 UTC 2026","","DeleteBookHappyPathSpec","com.example.apitests.books.happyPath.DeleteBookHappyPathSpec","DELETE book - id range [id: 100, #4]"
"","509","every book has the documented field types","","Thu May 14 14:53:04 UTC 2026","passed","Thu May 14 14:53:05 UTC 2026","","GetAllBooksHappyPathSpec","com.example.apitests.books.happyPath.GetAllBooksHappyPathSpec","every book has the documented field types"
"","280","returns 200 with matching id for possible range of id 1","","Thu May 14 14:53:08 UTC 2026","passed","Thu May 14 14:53:08 UTC 2026","","GetBookByIdHappyPathSpec","com.example.apitests.books.happyPath.GetBookByIdHappyPathSpec","returns 200 with matching id for possible range of id 1"
"","288","create a book with a large pageCount","","Thu May 14 14:53:07 UTC 2026","passed","Thu May 14 14:53:07 UTC 2026","","CreateBookHappyPathSpec","com.example.apitests.books.happyPath.CreateBookHappyPathSpec","create a book with a large pageCount"
"","275","returns 200 with matching id for possible range of id 50","","Thu May 14 14:53:08 UTC 2026","passed","Thu May 14 14:53:08 UTC 2026","","GetBookByIdHappyPathSpec","com.example.apitests.books.happyPath.GetBookByIdHappyPathSpec","returns 200 with matching id for possible range of id 50"
"","282","rejects with 400 when path id is non-numeric (' ')","","Thu May 14 14:53:05 UTC 2026","passed","Thu May 14 14:53:05 UTC 2026","","UpdateBookNegativeSpec","com.example.apitests.books.negative.UpdateBookNegativeSpec","rejects with 400 when path id is non-numeric (' ')"
"","268","returns 4xx for a negative integer id","","Thu May 14 14:53:14 UTC 2026","passed","Thu May 14 14:53:15 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for a negative integer id"
"","264","never returns a 5xx for malformed id '-1'","","Thu May 14 14:53:15 UTC 2026","passed","Thu May 14 14:53:15 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","never returns a 5xx for malformed id '-1'"
"","526","id values are positive integers and unique across the collection","","Thu May 14 14:53:05 UTC 2026","passed","Thu May 14 14:53:05 UTC 2026","","GetAllBooksHappyPathSpec","com.example.apitests.books.happyPath.GetAllBooksHappyPathSpec","id values are positive integers and unique across the collection"
"","265","handles a zero pageCount without a 5xx","","Thu May 14 14:53:10 UTC 2026","passed","Thu May 14 14:53:10 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","handles a zero pageCount without a 5xx"
"","265","returns 4xx for id = 0 (sentinel value never assigned by the API)","","Thu May 14 14:53:14 UTC 2026","passed","Thu May 14 14:53:14 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for id = 0 (sentinel value never assigned by the API)"
"","348","creates a book and verify the field back","","Thu May 14 14:53:06 UTC 2026","passed","Thu May 14 14:53:07 UTC 2026","","CreateBookHappyPathSpec","com.example.apitests.books.happyPath.CreateBookHappyPathSpec","creates a book and verify the field back"
"","273","rejects with 4xx when body is a JSON array instead of an object","","Thu May 14 14:53:09 UTC 2026","passed","Thu May 14 14:53:10 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","rejects with 4xx when body is a JSON array instead of an object"
"","282","is idempotent on a non-existent id - returns 200 not 404","","Thu May 14 14:53:03 UTC 2026","passed","Thu May 14 14:53:03 UTC 2026","","DeleteBookNegativeSpec","com.example.apitests.books.negative.DeleteBookNegativeSpec","is idempotent on a non-existent id - returns 200 not 404"
